"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3215]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / LAGUNA DEL MAULE / PACIFIC OCEAN","DOMO DEL MAULE","-36","-36.16","-70.25","-70.52","SAE","","","s FM 67A","VOL","/ RHYOLITE [3215] ","","","","","","72.5","0.19","","15","","1.2","0.66","","0.85","0.26","0.06","","4","5.12","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","7","2","","","4","2","","45","14","","","","","156","114","19","206","12","","","","","","","","","","","","","715","29.9","63.4","","23.9","3.99","0.78","","","","0.9","","","1.93","","5.5","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","58705",
"[3215]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / LAGUNA DEL MAULE / PACIFIC OCEAN","DOMO DEL MAULE","-36","-36.16","-70.25","-70.52","SAE","","","s FM 78","VOL","/ RHYOLITE [3215] ","","","","","","73.41","0.19","","14.22","","1.01","0.66","","0.63","0.21","0.06","","4","5.36","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34052","","2.5","","6","2","","","3","7","","45","15","","","","","150","93.8","20","193","12.8","","","","","","","","","","","","4.98","717","30","62.6","","22.8","4.04","0.64","","","","1","","","1.88","","5.1","","","","","","","","","","","","19.3","","0.512733","","","0.70418","","","","","","","","","","","","","","","","","","","","","58706",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / LEON MUERTO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION","-25.87","-25.87","-68.47","-68.47","SAE","","","s LEON-T2/13","VOL","/ IGNIMBRITE [3345] ","","","","","","66.5","0.444","","15.13","","","","2.8","2.94","1.24","0.109","","3.66","2.99","0.127","3.55","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","","","","","","","5.5","","","","","","6.5","6","9","69","18","","","","","128","315","17","124","17","","","","","","","","1.8","0.41","","","6.6","772","21","46","5.3","19","3.9","0.95","3.8","0.55","3.2","0.63","1.7","0.26","1.8","0.27","","1.3","","","","","","","","","16","","9.5","2.8","","","","","","18.833","","15.623","","38.794","","","","","","","","","","","","","","","60475",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / RIO FRIO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, PROFILE AT QUEBRADA CHACO DEL NORTE","-25.42","-25.42","-69.21","-69.21","SAE","","","s QCN-94-2/8","VOL","/ IGNIMBRITE [3345] ","HOMOGENEOUS","","","","","67.1","0.423","","13.78","","","","2.24","5.22","0.93","0.051","","4.26","3.16","0.11","1.83","","","","0.43","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","5.3","","","","","","6","6.3","15","41","15","","","","","178","204","16","182","13","","","","","","","","1.4","0.65","","","4.2","609","34","64","6.9","23","4","0.78","3.3","0.52","3","0.6","1.8","0.28","1.9","0.31","","1.3","","","","","","","","","17","","23","5.9","","","","","","18.92","","15.675","","38.945","","","","","","","","","","","","","","","60476",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / RIO FRIO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, PROFILE AT QUEBRADA CHACO DEL NORTE","-25.42","-25.42","-69.21","-69.21","SAE","","","s QCN-94-2/9","VOL","/ IGNIMBRITE [3345] ","HOMOGENEOUS","","","","","68.3","0.44","","14.15","","","","2.33","4.05","1.06","0.053","","4.41","3.26","0.119","0.42","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","5.4","","","","","","5.7","6.8","16","42","15","","","","","185","204","17","186","13","","","","","","","","1.1","0.73","","","4.8","632","34","67","7.2","23","4.1","0.8","3.4","0.5","3.1","0.6","1.8","0.27","2","0.32","","1.3","","","","","","","","","16","","24","5.9","0.512446","","","0.707395","","18.924","","15.67","","38.949","","","","","","","","","","","","","","","60477",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PLATO SUPERIOR IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION","-25.47","-25.47","-68.94","-68.94","SAE","","","s 14/11-S-27","VOL","/ IGNIMBRITE [3345] ","","","","","","68.7","0.345","","14.65","","","","1.77","1.85","1.22","0.073","","4.52","2.94","0.06","3.68","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","4.8","","","","","","2.8","3","6","57","17","","","","","174","203","23","183","17","","","","","","","","1.9","0.35","","","11","635","35","77","8.3","30","5.7","1.02","4.7","0.71","4.4","0.82","2.6","0.4","2.6","0.43","","1.8","","","","","","","","","18","","17","4.5","0.51247","","","0.70713","","18.844","","15.621","","38.746","","","","","","","","","","","","","","","60478",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / RIO FRIO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, PROFILE AT QUEBRADA CHACO DEL NORTE","-25.42","-25.42","-69.21","-69.21","SAE","","","s QCN-94-2/7","VOL","/ IGNIMBRITE [3345] ","HOMOGENEOUS","","","","","69.9","0.453","","14.46","","","","2.39","2.91","0.73","0.054","","4.47","3.38","0.118","0.35","","","","0.26","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","5.6","","","","","","6","7","16","42","15","","","","","195","212","17","194","14","","","","","","","","1.3","0.68","","","6.6","662","35","65","7.1","23","4.2","0.8","3.4","0.58","3.1","0.63","1.8","0.28","1.9","0.32","","1.4","","","","","","","","","17","","24","6.2","","","","","","18.91","","15.668","","38.953","","","","","","","","","","","","","","","60479",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / RIO FRIO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, PROFILE AT QUEBRADA CHACO DEL NORTE","-25.42","-25.42","-69.21","-69.21","SAE","","","s QCN-94-2/1","VOL","/ IGNIMBRITE [3345] ","HOMOGENEOUS","","","","","69.9","0.433","","14.36","","","","2.29","2.48","0.87","0.054","","4.28","3.33","0.118","2.02","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","5","","","","","","5.5","6.6","18","44","15","","","","","196","202","16","190","13","","","","","","","","1.5","0.79","","","11.7","637","33","65","6.8","22","4","0.76","3.3","0.45","2.9","0.61","1.7","0.27","1.9","0.32","","1.4","","","","","","","","","18","","25","7.3","","","","","","18.918","","15.67","","38.937","","","","","","","","","","","","","","","60480",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINAS IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, SOUTHEAST OF SALAR DE PARINAS","-25.98","-25.98","-68.44","-68.44","SAE","","","s PARI-2-17","VOL","/ IGNIMBRITE [3345] ","","","","","","70.2","0.228","","14.49","","","","1.48","2.24","1.04","0.08","","3.57","3.05","0.057","3.53","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","","","","","","","","","3.7","","","","","","2.9","2","3.5","47","18","","","","","142","231","14","80","17","","","","","","","","1.9","0.2","","","6.3","550","22","46","5.1","18","3.7","0.76","3.1","0.48","2.8","0.54","1.5","0.23","1.5","0.21","","1.7","","","","","","","","","18","","11.3","3.9","0.512418","","","0.708047","","19.065","","15.622","","38.786","","","","","","","","","","","","","","","60481",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / AZUFRE / AZUFRE IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION","-35.25","-35.25","-68.8","-68.8","SAE","","","s 15/10-T-9","VOL","/ IGNIMBRITE [3345] ","","","","","","70.4","0.222","","13.06","","","","1.44","1.67","0.61","0.103","","5.48","2.88","0.075","3.11","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","4.2","","","","","","3","3.6","5.2","50","17","","","","","165","131","16","68","19","","","","","","","","1.9","0.89","","","5.9","220","11","23","2.7","9.5","2.4","0.35","2.4","0.44","2.9","0.57","1.7","0.24","1.6","0.25","","1.5","","","","","","","","","18","","8","4.7","","","","","","18.75","","15.632","","38.753","","","","","","","","","","","","","","","60482",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PEDERNALES IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION,  SW OF SALAR DE PEDERNALES","-26.36","-26.36","-69.28","-69.28","SAE","","","s PED-97-12","VOL","/ IGNIMBRITE [3345] ","FINE-GRAINED","","","","","71.2","0.163","","14.2","","","","0.99","1.24","0.6","0.104","","5.1","2.38","0.064","3.52","","","","0.17","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","3.5","","","","","","1.3","1.6","5","50","19","","","","","160","78","17","64","20","","","","","","","","2.1","0.42","","","7","346","9.4","21","2.4","9.1","2.4","0.38","2.4","0.44","3","0.57","1.6","0.25","1.7","0.25","","1.6","","","","","","","","","21","","8.6","3.9","0.512432","","","0.707845","","18.739","","15.625","","38.727","","","","","","","","","","","","","","","60483",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / JUNCALITOO IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, RIO NEGRO VALLEY","-26.52","-26.52","-68.84","-68.84","SAE","","","s JUN-97-4","VOL","/ IGNIMBRITE [3345] ","","","","","","73.2","0.176","","12.91","","","","0.9","0.8","0.17","0.058","","5.16","3.69","0.03","1.95","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","2.4","","","","","","0.6","1.7","5.6","38","15","","","","","211","88","15","112","15","","","","","","","","2.5","0.69","","","12","517","32","61","6.3","21","3.7","0.58","3","0.43","2.7","0.5","1.4","0.23","1.5","0.24","","1.7","","","","","","","","","18","","28","9.3","0.512436","","","0.70725","","18.864","","15.627","","38.887","","","","","","","","","","","","","","","60484",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / CYCLOP IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, BARRANCAS BLANCAS PLAIN","-26.21","-26.21","-68.55","-68.55","SAE","","","s CY-94-2-B1","VOL","/ IGNIMBRITE [3345] ","FIBREOUS","","","","","73.5","0.17","","13.4","","","","0.79","0.79","0.15","0.072","","5.07","3.58","0.034","2.17","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","","","","","","","2","","","","","","0.4","1.7","4","36","15","","","","","178","125","16","124","18","","","","","","","","1.3","0.21","","","7.2","735","39","78","8.2","27","4.4","0.74","3.5","0.58","3","0.53","1.7","0.27","1.6","0.25","","1.6","","","","","","","","","22","","17","5.7","","","","","","18.911","","15.672","","38.987","","","","","","","","","","","","","","","60485",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / TRINCHERA IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION","-26.07","-26.07","-68.47","-68.47","SAE","","","s TRIN-97-2-2B","VOL","/ IGNIMBRITE [3345] ","VITROPHYRIC","","","","","74","0.156","","13.04","","","","0.73","0.83","0.16","0.06","","4.96","3.064","0.032","2.27","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","2.3","","","","","","0.4","0.5","4.5","28","14","","","","","198","98","14","111","15","","","","","","","","1.7","0.56","","","9.1","774","40","73","7.9","24","4.2","0.73","3.1","0.45","2.8","0.49","1.4","0.24","1.6","0.24","","1.5","","","","","","","","","19","","28","8.1","0.512421","","","0.707307","","18.879","","15.634","","38.918","","","","","","","","","","","","","","","60486",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINAS IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, SOUTHEAST OF SALAR DE PARINAS","-25.98","-25.98","-68.44","-68.44","SAE","","","s 5213-S-23-B1","VOL","/ IGNIMBRITE [3345] ","","","","","","74.1","0.1","","13.3","","","","0.67","1.12","0.13","0.068","","4.38","3.42","0.04","2.5","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","","","","","2.6","","","","","","0.6","1.1","6.7","36","16","","","","","185","153","15","60","16","","","","","","","","2.5","0.3","","","6.8","510","22","46","5.5","17","3.4","0.65","3","0.46","2.8","0.54","1.6","0.23","1.5","0.22","","1.5","","","","","","","","","18","","13","5.3","0.51238","","","0.709206","","19.115","","15.653","","38.925","","","","","","","","","","","","","","","60487",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / CYCLOP IGNIMBRITE / PACIFIC OCEAN","SALAR DE LA ISLA REGION, BARRANCAS BLANCAS PLAIN","-26.21","-26.21","-68.55","-68.55","SAE","","","s CY-94-1","VOL","/ IGNIMBRITE [3345] ","","","","","","74.3","0.179","","13.2","","","","0.97","1.21","0.28","0.07","","4.57","4","0.04","0.7","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","2.5","","","","","","0.7","1","2","34","15","","","","","191","152","15","117","16","","","","","","","","1.9","0.61","","","10","621","36","68","7.1","23","4","0.71","3.1","0.45","2.8","0.51","1.5","0.24","1.6","0.26","","1.6","","","","","","","","","18","","28","8.4","0.512432","","","0.7074","","18.885","","15.647","","38.959","","","","","","","","","","","","","","","60488",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO BLANCO IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, EAST OF SIERRA DE CALALASTE","-26.48","-26.48","-67.7","-67.7","SAE","","","s SIA97B3","VOL","/ IGNIMBRITE [3345] ","VESICULAR","","","","","65.2","0.349","","13.9","","","","2.18","5.15","1.06","0.053","","3.72","3.57","0.12","1.79","","","","2.23","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","4.6","","","","","","1.7","1.6","4.6","42","16","","","","","146","301","10","122","29","","","","","","","","1.6","0.25","","","7.2","335","34","59","6.5","20","3.2","0.67","2.4","0.34","1.9","0.37","1.1","0.18","1.1","0.19","","2.3","","","","","","","","","19","","27","6.8","0.512492","","","0.706693","","18.962","","15.643","","39.001","","","","","","","","","","","","","","","60489",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / QUEBRADA ARCHIBARCA / PACIFIC OCEAN","","-25.5","-26.5","-67","-68.5","SAE","","","s SIA30B2","VOL","/ IGNIMBRITE [3345] ","VESICULAR","","","","","68.5","0.297","","14.97","","","","1.66","1.86","0.84","0.092","","4.27","3.05","0.11","3.52","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","","","","","","","","","2.7","","","","","","1.7","3.4","3.6","58","18","","","","","131","367","16","177","25","","","","","","","","2.9","0.1","","","3.2","1024","41","75","8.2","28","4.8","1","3.6","0.52","2.8","0.54","1.6","0.26","1.7","0.28","","1.4","","","","","","","","","21","","13","3.2","0.512407","","","0.707866","","18.922","","15.622","","38.815","","","","","","","","","","","","","","","60490",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / ANTOFALLA IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, TOP OF POTRERO GRANDE FORMATION","-25.48","-25.48","-67.64","-67.64","SAE","","","s SIA145B","VOL","/ IGNIMBRITE [3345] ","","","","","","69.9","0.224","","14.2","","","","1.4","1.55","0.68","0.045","","5.16","3.05","0.06","2.92","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","","","2.9","","","","","","1.7","6.3","7.3","45","18","","","","","165","315","9","163","15","","","","","","","","1.2","0.37","","","11","681","41","64","7.6","23","3.6","0.67","2.4","0.31","1.8","0.31","0.9","0.15","1","0.17","","1.5","","","","","","","","","15","","23","8.8","0.512415","","","0.707957","","18.946","","15.668","","39.075","","","","","","","","","","","","","","","60491",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / POTRERO GRANDE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, NORTHERN PART OF SALINA DEL FRAILE","-25.72","-25.72","-68.06","-68.06","SAE","","","s SIA70/2","VOL","/ IGNIMBRITE [3345] ","","","","F","","71.1","0.265","","13.68","","","","2.03","0.93","0.82","0.089","","4.65","2.27","0.08","3.26","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","5.1","","","","","","2.3","6.4","7","64","17","","","","","157","119","20","104","24","","","","","","","","3.2","0.49","","","10","556","54","101","11","35","5.9","0.83","4.6","0.57","3.7","0.74","2","0.29","2.1","0.34","","1.5","","","","","","","","","28","","9","3.3","0.512262","","","0.71293","","19.018","","15.644","","38.968","","","","","","","","","","","","","","","60492",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CUEROS DEL PURULLA / CUEROS DEL PURULLA IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION","-26.57","-26.57","-67.82","-67.82","SAE","","","s SIA 101D","VOL","/ RHYOLITE [3345] ","","","","","","72.3","0.178","","14.42","","","","1.26","1.54","0.25","0.082","","4.47","3.92","0.05","0.52","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","","","","","","","","","","3.1","","","","","","0.8","1","3","54","17","","","","","179","277","22","147","31","","","","","","","","2.2","0.41","","","7.9","651","55","102","12","37","6.6","1.2","5.1","0.8","4.4","0.78","2.2","0.34","2.2","0.33","","2.4","","","","","","","","","24","","21","5.9","0.512463","","","0.707978","","18.999","","15.644","","38.984","","","","","","","","","","","","","","","60494",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CAJEROS IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, EASTERN FLANK OF SIERRA DE LA QUEBRADA HONDA","-25.74","-25.74","-68.19","-68.19","SAE","","","s SIA46B2","VOL","/ IGNIMBRITE [3345] ","","","","","","73","0.11","","12.5","","","","0.65","1.58","0.09","0.08","","5.43","2.84","0.03","2.89","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","3","","","","","","0.4","1.1","3.8","32","14","","","","","191","62","20","85","22","","","","","","","","1.8","0.23","","","6.2","613","28","56","6.5","20","4","0.53","3.4","0.52","3.5","0.7","2","0.31","2.1","0.34","","1.9","","","","","","","","","15","","15","5.3","0.512486","","","0.708448","","18.939","","15.639","","38.877","","","","","","","","","","","","","","","60496",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / ANTOFALLA / LAS CUEVAS IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION","-25.67","-25.67","-67.08","-67.08","SAE","","","s SRA10","VOL","/ RHYOLITE [3345] ","","","","","","73.3","0.095","","12.76","","","","0.62","1.31","0.09","0.05","","4.79","3.36","0.02","2.44","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","83","","","","","","","","","","","","","","1.9","","","","","","0.4","0.9","2.8","34","17","","","","","217","145","11","76","17","","","","","","","","1.8","0.21","","","12","563","22","41","4.7","16","3","0.57","2.4","0.4","2.1","0.33","1.1","0.18","1.1","0.17","","1.9","","","","","","","","","26","","23","10.5","0.512377","","","0.708194","","18.968","","15.647","","38.99","","","","","","","","","","","","","","","60497",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / TAMBERIA IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, NW AND NE OF CAMPO NEGRO","-25.76","-25.76","-68.31","-68.31","SAE","","","s SIA48B1","VOL","/ IGNIMBRITE [3345] ","","","","","","73.6","0.109","","12.61","","","","0.64","0.8","0.19","0.074","","5.2","3.18","0.02","2.29","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","3.1","","","","","","0.6","1.7","2.4","16","15","","","","","206","62","19","85","23","","","","","","","","0.4","0.22","","","6.5","596","26","47","5.7","19","3.7","0.45","3.2","0.51","3.3","0.66","2","0.3","2.1","0.33","","1.9","","","","","","","","","15","","15","5.4","0.512512","","","0.708515","","18.942","","15.642","","38.888","","","","","","","","","","","","","","","60498",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / VALLECITO IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION, SALAR DE ANTOFALLA","-26.13","-26.13","-67.97","-67.97","SAE","","","s SIA92/3A","VOL","/ IGNIMBRITE [3345] ","","","","","","74.4","0.145","","12.62","","","","0.76","0.68","0.39","0.07","","2.92","5.1","0.02","2.19","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","49","","","","","","","","","","","","","","5.2","","","","","","0.5","1.7","2.1","32","15","","","","","232","63","22","93","19","","","","","","","","1.9","0.7","","","12","390","15","30","4.2","14","3.4","0.7","3.5","0.67","3.8","0.76","2.3","0.3","2.4","0.36","","2.1","","","","","","","","","29","","30","11","0.512427","","","0.707789","","19.155","","15.698","","39.202","","","","","","","","","","","","","","","60499",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PEINADO / LAGUNA AMARGA I  IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION","-26.49","-26.49","-68.1","-68.1","SAE","","","s SIA83B8","VOL","/ IGNIMBRITE [3345] ","VESICULAR","","","","","74.8","0.133","","12.63","","","","0.49","0.55","0.08","0.07","","5.87","2.72","0.03","1.84","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","2.1","","","","","","0.9","1.8","8.7","36","14","","","","","248","46","15","83","19","","","","","","","","0.5","0.96","","","13","340","25","48","5.8","18","3.4","0.45","2.8","","2.6","0.45","1.4","0.24","1.6","0.26","","1.9","","","","","","","","","8","","28","10.7","0.512404","","","0.707931","","18.886","","15.621","","38.876","","","","","","","","","","","","","","","60500",
"[3345]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PEINADO / LAGUNA AMARGA II IGNIMBRITE / PACIFIC OCEAN","SALAR DE ANTOFALLA REGION","-26.6","-26.6","-68.15","-68.15","SAE","","","s SIA72","VOL","/ IGNIMBRITE [3345] ","","","","","","75.7","0.153","","12.62","","","","0.79","0.8","0.15","0.063","","4.56","4","0.03","0.28","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","","","2.3","","","","","","0.8","1.6","3.3","35","14","","","","","197","86","13","96","17","","","","","","","","1.4","0.43","","","7.5","500","29","54","5.9","19","3.5","0.6","2.8","0.42","2.4","0.47","1.4","0.22","1.5","0.24","","1.6","","","","","","","","","15","","28","8.8","0.512438","","","0.707378","","18.885","","15.649","","38.963","","","","","","","","","","","","","","","60501",
"[3230]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / HUAYLILLAS FORMATION / PACIFIC OCEAN","","-17","-17","-70.7","-70.7","SAE","","","s PE 56","VOL","/ RHYODACITE [3230] ","","","","F","","68.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7067","","","","","","","","","","","","","","","","","","","","","60612",
"[3212]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE / PARINACOTA / PACIFIC OCEAN","NEVADOS DE PAYACHATA, AJATA CONES","-18.15","-18.16","-69.15","-69.16","SAE","","","s PAR 068","VOL","/ ANDESITE [3212] ","","","","F","","58.3","1.29","","16.1","","","","6.33","5.6","3.38","0.09","","2.78","4.11","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","53","","","","43","59","118","","","","","","75","991","7","215","5","","","","","","","","","","","","","1233","","97.2","","44.1","7.84","2.27","","0.68","","","","0.25","1.26","0.17","6.02","0.67","","","","","","","","","17","","8.81","1.3","","","","0.70692","","18.12","","15.61","","38.37","","","","","","","","","","","","","","","62294",
